Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,dur,issue
frog-16b.mat,uxu,9,UH0,V1,tuxus,ikiich too kvurish tuxus too pvaaram,T,HH,139.29799999999977,1420.4,1559.6979999999999,132.304,217.859,197.357,80.17699999999999,81.34,88.76899999999999,348.434,325.291,389.756,400.719,365.16,264.01599999999996,966.654,1133.225,987.069,903.3860000000001,862.2639999999999,939.505,2520.249,2740.208,2410.8979999999997,2358.1220000000003,2455.024,2631.688,139.29799999999977,none
frog-16b.mat,uxu,9,HH,C,tuxus,ikiich too kvurish tuxus too pvaaram,UH0,UH0,87.57100000000014,1559.6979999999999,1647.269,169.826,166.976,164.821,167.97,170.37599999999998,178.926,643.315,721.3560000000001,1132.124,989.73,195.351,176.025,1844.5020000000002,1806.481,2606.6,2290.1639999999998,1251.96,1269.4489999999998,3343.012,3381.616,4279.929,4025.0840000000003,2527.417,2509.0370000000003,87.57100000000014,none
frog-16b.mat,uxu,9,UH0,V2,tuxus,ikiich too kvurish tuxus too pvaaram,HH,SH,63.23700000000008,1647.269,1710.506,192.82,190.31799999999998,196.176,197.729,194.58700000000002,186.266,539.567,696.23,240.58,243.483,294.381,1187.3310000000001,1689.993,1852.641,1310.912,1307.607,1380.725,2557.34,3017.452,3300.014,2546.908,2526.2870000000003,2679.675,3955.6079999999997,63.23700000000008,none
karuk-2010-05-01-arg-edited-2_15.mat,uxuu,10,UH0,V1,muxuun,vaa muxuun,M,HH,110.64399999999989,653.2230000000001,763.867,188.745,181.972,185.649,190.704,193.715,191.75,439.66,422.666,442.584,536.154,412.452,381.89599999999996,843.2860000000001,965.572,814.617,776.243,781.873,878.798,2545.455,2626.659,2658.741,2534.969,2441.519,2456.7129999999997,110.64399999999989,none
karuk-2010-05-01-arg-edited-2_15.mat,uxuu,10,HH,C,muxuun,vaa muxuun,UH0,UW1,219.39999999999998,763.867,983.2669999999999,190.65900000000002,189.34900000000002,192.047,191.31099999999998,188.815,188.815,653.185,593.184,590.266,742.71,670.418,678.8480000000001,1421.226,1438.009,1030.14,2092.34,1078.614,1493.807,3002.4190000000003,3015.498,2733.527,3527.532,2856.759,2898.6940000000004,219.39999999999998,none
karuk-2010-05-01-arg-edited-2_15.mat,uxuu,10,UW1,V2,muxuun,vaa muxuun,HH,N,85.16600000000005,983.2669999999999,1068.433,153.173,170.449,164.66099999999997,155.637,145.158,141.10399999999998,373.8,381.153,354.371,357.13300000000004,401.583,378.244,1074.248,1004.362,1018.2639999999999,1142.1580000000001,989.83,1209.975,2578.889,2569.759,2538.548,2594.899,2544.526,2637.387,85.16600000000005,none
karuk-2010-05-01-arg-edited-2_43.mat,ikii,11,IH0,V1,ikiich,ikiich vura xara vura ta nikrii,,K,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,667.8330000000001,667.8330000000001,667.8330000000001,667.8330000000001,667.8330000000001,667.8330000000001,2446.884,2446.884,2446.884,2446.884,2446.884,2446.884,2819.83,2819.83,2819.83,2819.83,2819.83,2819.83,30.0,none
karuk-2010-05-01-arg-edited-2_43.mat,ikii,11,K,C,ikiich,ikiich vura xara vura ta nikrii,IH0,IY1,35.23100000000001,30.0,65.23100000000001,0.0,0.0,0.0,0.0,0.0,0.0,953.268,974.2130000000001,1012.584,1164.4589999999998,1313.125,523.443,2529.0460000000003,2461.718,2481.96,2736.778,2623.8259999999996,2407.041,2868.672,2815.4109999999996,2811.603,2828.65,3042.422,3013.344,35.23100000000001,none
karuk-2010-05-01-arg-edited-2_43.mat,ikii,11,IY1,V2,ikiich,ikiich vura xara vura ta nikrii,K,CH,51.93699999999998,65.23100000000001,117.16799999999999,197.644,218.292,207.769,197.269,190.47,184.722,349.07300000000004,329.635,357.20599999999996,363.343,349.225,348.805,2140.055,2249.7929999999997,2198.911,2121.6079999999997,2077.618,2046.892,2733.38,2788.76,2726.07,2695.992,2662.133,2784.926,51.93699999999998,none
karuk-2010-05-01-arg-edited-2_56.mat,uxu,12,UH0,V1,uxutih,pay vura uum uxutih iyunyuunhitih,M,HH,30.0,770.0,800.0,209.377,215.012,212.16400000000002,209.09900000000002,205.688,204.78900000000002,785.27,975.654,949.868,919.768,632.9490000000001,471.816,1954.711,2387.152,2240.166,2231.893,1629.089,1296.935,3238.4809999999998,3287.406,3687.466,3727.9109999999996,3042.978,2539.317,30.0,none
