Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,dur,issue
VS-37_16.mat,ikii,5,IY1,V2,pananikiit,pananikiit iin neepsharavrikeesh,K,T,129.69400000000007,517.049,646.743,172.97,215.627,193.68599999999998,177.101,166.55900000000003,164.05200000000002,162.839,163.28799999999998,164.553,164.299,162.593,329.18300000000005,269.37,303.233,335.54400000000004,341.505,342.95099999999996,347.47900000000004,345.594,341.458,337.25300000000004,330.816,2093.027,2056.251,1850.783,2148.794,2163.321,2179.262,2212.2529999999997,2174.411,2108.1220000000003,2081.53,1971.1429999999998,2668.993,2823.922,2596.4320000000002,2969.708,2557.74,2878.565,2694.347,2569.686,2599.29,2511.676,2426.481,129.69400000000007,none
VS-38_02.mat,iki,6,IH0,V1,pamisikih,hooy pamisikih,SH,K,104.25700000000006,853.049,957.306,189.433,222.6,205.475,196.794,193.079,190.007,186.90099999999998,184.361,180.34900000000002,171.25099999999998,163.072,333.042,310.069,345.04,351.983,356.795,358.564,355.02,338.591,330.514,316.605,270.09,1762.16,1788.753,1855.398,1828.734,1841.933,1941.995,1845.932,1836.953,1887.7,1384.646,1373.105,2336.6479999999997,2170.055,2157.471,2373.644,2400.8360000000002,2300.91,2329.5789999999997,2353.072,2367.973,2387.409,2520.126,104.25700000000006,none
VS-38_02.mat,iki,6,K,C,pamisikih,hooy pamisikih,IH0,IH0,252.4179999999999,957.306,1209.724,171.986,170.226,177.915,177.915,177.915,177.915,177.915,177.915,177.915,177.915,177.915,607.393,336.533,362.275,332.996,397.464,617.567,594.462,1047.46,982.554,949.013,497.523,2102.389,2243.419,2175.5,2134.32,1962.602,2010.611,1838.4279999999999,2255.839,1983.5220000000002,2158.246,2290.496,3001.85,2467.4570000000003,2786.698,2715.633,2432.714,3076.478,2935.3390000000004,3197.8909999999996,3231.8390000000004,3591.433,3570.3579999999997,252.4179999999999,none
VS-38_02.mat,iki,6,IH0,V2,pamisikih,hooy pamisikih,K,HH,98.10100000000011,1209.724,1307.825,122.21,120.53399999999999,120.62799999999999,122.936,123.52799999999999,123.52799999999999,123.52799999999999,123.52799999999999,123.52799999999999,123.52799999999999,123.52799999999999,330.142,297.998,320.976,334.17400000000004,349.599,377.351,376.25300000000004,351.079,333.42,318.232,251.923,2206.562,2079.629,1915.37,2119.795,2221.533,2297.031,2224.778,2333.011,2209.6279999999997,2236.567,2388.825,3136.3309999999997,3336.095,3360.4509999999996,3361.085,3371.647,3457.875,3255.9509999999996,2780.691,2511.2470000000003,2895.131,3036.8320000000003,98.10100000000011,none
frog-12b-cut.mat,uxu,7,UH0,V1,uxutih,paqavansaxiich uxutih neexaychakisheesh paxanchiifich,CH,HH,22.366999999999962,941.748,964.115,173.80599999999998,173.80599999999998,173.80599999999998,173.80599999999998,175.956,175.658,175.19099999999997,174.699,171.67700000000002,170.386,173.13299999999998,1389.025,1519.945,1533.451,1542.849,1547.1429999999998,1545.866,1542.7879999999998,1539.1989999999998,1533.171,1074.233,405.88300000000004,2479.641,1942.713,2518.3579999999997,2709.3059999999996,2732.24,2769.8990000000003,2767.275,2748.571,2743.042,2348.507,1502.976,3833.5170000000003,3379.8,3766.395,4041.698,4049.487,4083.063,4114.008,4134.592000000001,4132.145,3678.337,2830.4359999999997,22.366999999999962,none
frog-12b-cut.mat,uxu,7,HH,C,uxutih,paqavansaxiich uxutih neexaychakisheesh paxanchiifich,UH0,UH0,171.61899999999991,964.115,1135.734,193.16400000000002,174.487,174.487,174.487,174.487,174.487,174.487,174.487,174.487,174.487,258.533,916.7239999999999,880.827,932.819,837.8810000000001,983.993,1050.945,931.2389999999999,860.709,922.194,936.513,849.279,1481.351,1486.668,1483.237,1449.746,1467.319,1531.7379999999998,1413.445,1424.115,1427.632,1492.372,1642.141,3404.4120000000003,2773.7209999999995,3157.4,3212.907,3328.638,3429.8920000000003,3489.518,3654.8320000000003,3619.76,3630.76,3762.8070000000002,171.61899999999991,none
frog-12b-cut.mat,uxu,7,UH0,V2,uxutih,paqavansaxiich uxutih neexaychakisheesh paxanchiifich,HH,T,51.8090000000002,1135.734,1187.5430000000001,231.417,255.581,254.338,247.912,237.738,228.24099999999999,222.8,219.926,218.38299999999998,216.967,215.28400000000002,396.60400000000004,320.181,348.727,395.36,429.338,435.838,433.154,426.32300000000004,414.52099999999996,390.712,377.42800000000005,1117.01,1117.285,1067.428,1070.247,1108.5610000000001,1134.632,1156.42,1158.695,1137.75,1129.733,1093.828,2651.5679999999998,3514.578,2568.169,2512.14,2526.998,2518.643,2538.098,2566.105,2570.405,2576.1079999999997,2538.646,51.8090000000002,none
frog-16.mat,ikii,8,IH0,V1,ikiich,xas ikiich too kvurish,SH,K,85.66000000000008,1252.819,1338.479,201.22799999999998,201.22799999999998,201.22799999999998,207.78900000000002,209.892,208.14,206.18900000000002,202.037,196.99099999999999,193.142,190.071,341.89099999999996,430.95300000000003,400.77,345.189,336.074,337.94300000000004,333.346,340.14099999999996,301.067,275.315,314.899,2139.1079999999997,2017.4489999999998,2019.486,2031.451,2084.96,2117.553,2130.854,2179.131,2190.08,2280.1279999999997,2343.744,2818.885,2690.14,2610.462,2655.3759999999997,2760.7459999999996,2839.743,2758.409,2673.1679999999997,2859.002,2996.367,3348.5240000000003,85.66000000000008,none
frog-16.mat,ikii,8,K,C,ikiich,xas ikiich too kvurish,IH0,IY1,130.02199999999993,1338.479,1468.501,196.145,187.37400000000002,192.924,197.845,196.824,198.308,198.308,198.308,198.308,198.308,254.49900000000002,474.097,328.892,407.785,329.57099999999997,395.67900000000003,426.276,496.876,730.23,455.69199999999995,748.211,453.42699999999996,1965.892,2401.126,1995.388,1838.35,2166.4829999999997,1681.399,2016.692,2067.755,1582.142,1927.756,1925.754,2943.902,3080.3540000000003,3305.417,2925.2,2893.65,2412.2529999999997,2885.5009999999997,3325.006,2818.7990000000004,2869.215,2859.6090000000004,130.02199999999993,none
frog-16.mat,ikii,8,IY1,V2,ikiich,xas ikiich too kvurish,K,CH,97.33600000000024,1468.501,1565.8370000000002,207.387,255.42,243.512,228.521,213.287,199.36700000000002,191.05,187.118,185.843,186.39700000000002,185.373,342.24,272.658,286.252,334.798,378.87,389.222,377.102,372.171,370.908,349.715,296.931,2002.384,2011.3110000000001,2063.641,2061.467,2039.1729999999998,2041.214,2003.7820000000002,1977.4289999999999,1971.3039999999999,1957.5629999999999,1904.932,2634.8340000000003,3040.802,2973.1820000000002,2739.428,2696.615,2644.242,2642.28,2515.038,2427.382,2255.764,2438.468,97.33600000000024,none
frog-16b.mat,uxu,9,UH0,V1,tuxus,ikiich too kvurish tuxus too pvaaram,T,HH,139.29799999999977,1420.4,1559.6979999999999,132.304,229.65,207.572,197.357,192.831,192.831,80.17699999999999,81.058,81.622,85.82600000000001,91.619,348.434,284.232,366.545,385.838,392.789,405.345,396.26199999999994,374.153,356.61699999999996,276.145,248.998,966.654,1219.053,1039.224,1020.304,953.044,932.096,874.041,873.7739999999999,851.199,848.197,1030.933,2520.249,2842.7270000000003,2636.402,2444.498,2378.71,2342.969,2371.324,2471.126,2437.632,2551.702,2707.2329999999997,139.29799999999977,none
frog-16b.mat,uxu,9,HH,C,tuxus,ikiich too kvurish tuxus too pvaaram,UH0,UH0,87.57100000000014,1559.6979999999999,1647.269,169.826,168.72799999999998,165.51,163.895,165.734,167.455,168.46,169.511,171.203,176.333,181.787,643.315,310.3,1139.22,1083.978,1177.0919999999999,1160.156,850.025,251.195,141.847,165.845,194.368,1844.5020000000002,1325.82,2260.367,2605.722,2606.61,2446.766,2166.973,1233.607,1271.987,1252.7089999999998,1287.223,3343.012,2601.466,4138.946,4277.939,4281.978,4299.454000000001,3806.051,2566.7070000000003,2489.1279999999997,2461.165,2559.655,87.57100000000014,none
frog-16b.mat,uxu,9,UH0,V2,tuxus,ikiich too kvurish tuxus too pvaaram,HH,SH,63.23700000000008,1647.269,1710.506,192.82,188.813,192.137,195.24400000000003,197.06,197.347,198.13400000000001,196.028,192.782,189.173,183.582,539.567,948.174,486.49199999999996,239.30200000000002,241.658,246.615,240.438,237.078,351.36400000000003,1211.704,1167.149,1689.993,2097.304,1630.226,1403.8670000000002,1233.958,1278.411,1344.096,1287.155,1474.8010000000002,2609.548,2511.915,3017.452,3790.5690000000004,2862.178,2548.85,2549.0170000000003,2533.7270000000003,2519.717,2549.072,2817.118,3953.458,3957.18,63.23700000000008,none
karuk-2010-05-01-arg-edited-2_15.mat,uxuu,10,UH0,V1,muxuun,vaa muxuun,M,HH,110.64399999999989,653.2230000000001,763.867,188.745,180.678,183.343,184.308,186.979,190.01,191.488,193.442,194.046,193.076,190.416,439.66,437.195,407.11300000000006,444.165,438.865,548.6759999999999,531.466,422.839,398.711,434.405,331.876,843.2860000000001,949.454,984.413,818.9110000000001,806.4,768.25,775.7130000000001,785.25,778.12,803.716,954.549,2545.455,2661.946,2590.784,2697.559,2627.542,2493.587,2585.7889999999998,2384.6220000000003,2500.768,2402.786,2512.577,110.64399999999989,none
karuk-2010-05-01-arg-edited-2_15.mat,uxuu,10,HH,C,muxuun,vaa muxuun,UH0,UW1,219.39999999999998,763.867,983.2669999999999,190.65900000000002,188.75099999999998,189.94299999999998,191.907,192.206,193.364,189.298,188.815,188.815,188.815,188.815,653.185,645.18,548.607,567.5269999999999,612.4830000000001,674.635,818.291,639.901,707.78,700.3760000000001,666.4119999999999,1421.226,1949.764,975.456,1099.109,961.955,1929.94,2271.533,1119.742,1032.012,1650.6770000000001,1382.8829999999998,3002.4190000000003,3375.514,2692.409,2784.438,2679.3309999999997,3362.594,3703.5879999999997,2810.623,2896.909,3193.113,2661.925,219.39999999999998,none
karuk-2010-05-01-arg-edited-2_15.mat,uxuu,10,UW1,V2,muxuun,vaa muxuun,HH,N,85.16600000000005,983.2669999999999,1068.433,153.173,153.173,170.449,166.55599999999998,162.454,158.099,152.858,146.888,143.123,141.944,140.165,373.8,371.67,393.819,361.45,345.599,350.80800000000005,362.707,370.95099999999996,434.77099999999996,393.145,358.125,1074.248,1076.225,914.4169999999999,974.716,1069.0439999999999,1139.9560000000001,1154.255,967.6610000000001,1008.047,1219.776,1201.802,2578.889,2566.875,2578.156,2582.2529999999997,2490.9570000000003,2535.761,2665.3520000000003,2596.362,2486.2110000000002,2563.825,2721.633,85.16600000000005,none
karuk-2010-05-01-arg-edited-2_43.mat,ikii,11,IH0,V1,ikiich,ikiich vura xara vura ta nikrii,,K,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.8330000000001,667.8330000000001,667.8330000000001,667.8330000000001,667.8330000000001,667.8330000000001,667.8330000000001,667.8330000000001,667.8330000000001,528.982,744.6410000000001,2446.884,2446.884,2446.884,2446.884,2446.884,2446.884,2446.884,2446.884,2446.884,2440.331,2449.946,2819.83,2819.83,2819.83,2819.83,2819.83,2819.83,2819.83,2819.83,2819.83,2815.434,2822.883,30.0,none
karuk-2010-05-01-arg-edited-2_43.mat,ikii,11,K,C,ikiich,ikiich vura xara vura ta nikrii,IH0,IY1,35.23100000000001,30.0,65.23100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.268,954.2689999999999,1004.164,1009.075,1015.2610000000001,1116.753,1232.305,1265.277,1355.088,657.066,298.332,2529.0460000000003,2462.3379999999997,2461.276,2461.562,2504.446,2688.7309999999998,2816.785,2698.006,2510.947,2446.781,2347.849,2868.672,2819.7870000000003,2809.42,2808.202,2815.9809999999998,2817.405,2840.99,2862.7670000000003,3220.688,3128.522,2822.545,35.23100000000001,none
karuk-2010-05-01-arg-edited-2_43.mat,ikii,11,IY1,V2,ikiich,ikiich vura xara vura ta nikrii,K,CH,51.93699999999998,65.23100000000001,117.16799999999999,197.644,197.644,218.292,209.37400000000002,206.22099999999998,199.49,195.044,191.885,188.68900000000002,186.025,183.352,349.07300000000004,317.61,339.895,354.457,360.098,363.965,362.981,355.819,341.594,344.231,353.934,2140.055,2267.9210000000003,2231.1279999999997,2221.597,2177.276,2132.778,2110.326,2083.567,2069.803,2064.72,2031.161,2733.38,2807.2009999999996,2774.652,2724.691,2726.389,2715.5759999999996,2676.611,2653.8140000000003,2670.7859999999996,2739.2740000000003,2832.323,51.93699999999998,none
karuk-2010-05-01-arg-edited-2_56.mat,uxu,12,UH0,V1,uxutih,pay vura uum uxutih iyunyuunhitih,M,HH,30.0,770.0,800.0,209.377,216.05599999999998,214.36599999999999,212.67,211.52900000000002,209.84099999999998,208.24900000000002,206.275,205.157,204.37,205.12400000000002,785.27,980.561,969.471,960.528,939.801,917.421,920.095,757.8939999999999,396.95,476.952,466.835,1954.711,2454.276,2334.6279999999997,2245.795,2232.56,2237.995,2227.647,2012.086,1087.857,1259.969,1340.102,3238.4809999999998,3135.949,3350.472,3656.7509999999997,3718.985,3752.758,3709.262,3361.2790000000005,2628.905,2556.89,2519.9829999999997,30.0,none
karuk-2010-05-01-arg-edited-2_56.mat,uxu,12,HH,C,uxutih,pay vura uum uxutih iyunyuunhitih,UH0,UH0,80.50699999999995,800.0,880.507,204.3,203.549,203.516,203.84400000000002,203.61900000000003,203.115,204.28,205.764,205.965,205.42700000000002,205.42700000000002,674.8510000000001,454.46,469.96,513.71,665.329,656.012,972.694,823.1189999999999,876.54,805.439,574.38,1520.36,1269.937,1243.272,1226.954,1062.119,1283.366,2503.244,1798.3770000000002,1273.1689999999999,1805.092,1771.4560000000001,2820.89,2533.885,2604.765,2755.191,2471.263,2779.716,4015.659,3360.52,2452.879,2685.6020000000003,2640.132,80.50699999999995,none
karuk-2010-05-01-arg-edited-2_56.mat,uxu,12,UH0,V2,uxutih,pay vura uum uxutih iyunyuunhitih,HH,T,62.120000000000005,880.507,942.627,235.91400000000002,244.34099999999998,243.857,240.52599999999998,237.398,236.365,235.938,235.075,233.665,230.525,227.08599999999998,354.324,404.88800000000003,393.22,365.473,365.47,374.584,366.38699999999994,350.85400000000004,346.584,320.863,270.112,1384.793,1369.672,1247.2,1299.742,1372.0810000000001,1393.997,1367.543,1345.475,1312.88,1524.565,1561.432,2620.201,2538.0879999999997,2535.26,2567.8720000000003,2573.606,2549.953,2536.476,2581.716,2689.882,2729.0879999999997,2856.008,62.120000000000005,none
karuk-2010-09-13-ag-vs-2_08.mat,iiki,13,IY1,V1,tukeevniikichha,pananitaat karu tukeevniikichha,N,K,203.19599999999946,3356.0440000000003,3559.24,173.245,182.206,182.183,183.646,184.19799999999998,183.812,181.185,176.13,168.495,154.17,136.47,426.015,494.231,498.79400000000004,465.39599999999996,437.542,429.955,429.985,451.79699999999997,410.835,357.425,281.241,2330.11,2167.768,2219.507,2264.709,2327.6639999999998,2362.364,2368.771,2370.78,2391.178,2443.999,2388.718,3256.845,3242.7540000000004,3081.401,3095.188,3107.888,3114.7490000000003,3227.45,3263.4559999999997,3469.414,3478.55,3478.23,203.19599999999946,none
karuk-2010-09-13-ag-vs-2_08.mat,iiki,13,K,C,tukeevniikichha,pananitaat karu tukeevniikichha,IY1,IH0,158.20500000000038,3559.24,3717.445,143.928,131.03,147.878,148.17600000000002,148.17600000000002,148.17600000000002,148.17600000000002,148.17600000000002,148.17600000000002,148.17600000000002,187.933,594.081,264.629,341.774,334.602,379.9,717.24,991.7919999999999,889.205,763.003,689.921,588.802,1831.2160000000001,2234.678,1991.0339999999999,1525.981,1566.354,1897.9779999999998,1815.73,1555.483,1521.316,2311.4320000000002,1848.378,2791.1420000000003,3068.757,2686.988,2594.3089999999997,2438.506,2769.36,2795.6290000000004,2758.0570000000002,2841.83,2867.725,3058.24,158.20500000000038,none
karuk-2010-09-13-ag-vs-2_08.mat,iiki,13,IH0,V2,tukeevniikichha,pananitaat karu tukeevniikichha,K,CH,36.44499999999971,3717.445,3753.89,187.112,195.14700000000002,205.519,200.71900000000002,194.764,187.297,183.77,181.155,178.543,175.28,170.605,290.786,243.812,254.227,275.76,255.327,333.903,366.476,375.71,328.20599999999996,272.031,238.657,2029.233,1750.255,1631.477,2418.271,1544.453,2253.759,2125.0229999999997,2107.221,2151.304,2230.245,2463.453,3561.1059999999998,2570.383,3098.639,4001.528,3352.7009999999996,3952.578,3880.066,3848.54,3854.5759999999996,3836.408,3774.14,36.44499999999971,none
karuk-2010-10-25-sd-vs-1_18.mat,upu,14,UH0,V1,pamupusihich,sally uum taay pamupusihich,M,P,69.21899999999982,1233.17,1302.389,183.637,179.65099999999998,181.7,183.993,185.266,186.821,186.261,185.333,183.046,181.425,183.0,514.585,349.69599999999997,333.048,318.622,301.324,242.299,227.929,495.98199999999997,894.488,1104.385,947.313,1668.471,1420.74,1480.713,1490.6470000000002,1436.922,1378.993,1354.606,1707.7279999999998,2243.7270000000003,2044.109,2175.083,2683.375,2531.351,2572.175,2509.902,2368.2870000000003,2487.508,2462.8320000000003,2606.967,3263.4809999999998,2949.3309999999997,3118.841,69.21899999999982,none
