Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-38_02.mat	"K"	957.306	1209.724	171.986	170.226	177.915	177.915	177.915	177.915	177.915	177.915	177.915	177.915	177.915	607.393	336.533	362.275	332.996	397.464	617.567	594.462	1047.460	982.554	949.013	497.523	2102.389	2243.419	2175.500	2134.320	1962.602	2010.611	1838.428	2255.839	1983.522	2158.246	2290.496	3001.850	2467.457	2786.698	2715.633	2432.714	3076.478	2935.339	3197.891	3231.839	3591.433	3570.358	
VS-38_02.mat	"IH0"	1209.724	1307.825	122.210	120.534	120.628	122.936	123.528	123.528	123.528	123.528	123.528	123.528	123.528	330.142	297.998	320.976	334.174	349.599	377.351	376.253	351.079	333.420	318.232	251.923	2206.562	2079.629	1915.370	2119.795	2221.533	2297.031	2224.778	2333.011	2209.628	2236.567	2388.825	3136.331	3336.095	3360.451	3361.085	3371.647	3457.875	3255.951	2780.691	2511.247	2895.131	3036.832	
frog-12b-cut.mat	"uxu"	941.748	1187.543	215.105	173.713	174.131	174.131	174.131	174.131	174.131	174.131	257.529	242.228	218.330	852.880	1332.333	910.178	870.712	1011.004	977.381	860.062	929.824	829.773	394.918	406.266	1497.385	2400.829	1483.060	1463.046	1497.010	1459.680	1425.396	1443.475	1554.668	1101.049	1132.030	3283.553	3753.461	2838.081	3287.964	3349.573	3463.574	3640.339	3591.483	3751.153	2654.293	2556.853	
frog-12b-cut.mat	"UH0"	941.748	964.115	173.806	173.806	173.806	173.806	175.956	175.658	175.191	174.699	171.677	170.386	173.133	1389.025	1519.945	1533.451	1542.849	1547.143	1545.866	1542.788	1539.199	1533.171	1074.233	405.883	2479.641	1942.713	2518.358	2709.306	2732.240	2769.899	2767.275	2748.571	2743.042	2348.507	1502.976	3833.517	3379.800	3766.395	4041.698	4049.487	4083.063	4114.008	4134.592	4132.145	3678.337	2830.436	
frog-12b-cut.mat	"HH"	964.115	1135.734	193.164	174.487	174.487	174.487	174.487	174.487	174.487	174.487	174.487	174.487	258.533	916.724	880.827	932.819	837.881	983.993	1050.945	931.239	860.709	922.194	936.513	849.279	1481.351	1486.668	1483.237	1449.746	1467.319	1531.738	1413.445	1424.115	1427.632	1492.372	1642.141	3404.412	2773.721	3157.400	3212.907	3328.638	3429.892	3489.518	3654.832	3619.760	3630.760	3762.807	
frog-12b-cut.mat	"UH0"	1135.734	1187.543	231.417	255.581	254.338	247.912	237.738	228.241	222.800	219.926	218.383	216.967	215.284	396.604	320.181	348.727	395.360	429.338	435.838	433.154	426.323	414.521	390.712	377.428	1117.010	1117.285	1067.428	1070.247	1108.561	1134.632	1156.420	1158.695	1137.750	1129.733	1093.828	2651.568	3514.578	2568.169	2512.140	2526.998	2518.643	2538.098	2566.105	2570.405	2576.108	2538.646	
frog-16.mat	"ikii"	1252.819	1565.837	202.381	209.383	205.262	191.363	194.304	197.249	197.249	253.767	236.805	194.988	185.885	397.847	381.470	336.847	300.270	367.525	417.252	574.281	560.441	313.315	380.885	339.891	2023.303	2032.084	2141.134	2330.643	2003.855	1929.870	1870.002	1930.589	2049.502	2013.097	1945.473	2811.590	2665.806	2765.636	3085.164	3116.373	2646.817	3088.018	2870.777	2873.248	2622.014	2380.048	
frog-16.mat	"IH0"	1252.819	1338.479	201.228	201.228	201.228	207.789	209.892	208.140	206.189	202.037	196.991	193.142	190.071	341.891	430.953	400.770	345.189	336.074	337.943	333.346	340.141	301.067	275.315	314.899	2139.108	2017.449	2019.486	2031.451	2084.960	2117.553	2130.854	2179.131	2190.080	2280.128	2343.744	2818.885	2690.140	2610.462	2655.376	2760.746	2839.743	2758.409	2673.168	2859.002	2996.367	3348.524	
frog-16.mat	"K"	1338.479	1468.501	196.145	187.374	192.924	197.845	196.824	198.308	198.308	198.308	198.308	198.308	254.499	474.097	328.892	407.785	329.571	395.679	426.276	496.876	730.230	455.692	748.211	453.427	1965.892	2401.126	1995.388	1838.350	2166.483	1681.399	2016.692	2067.755	1582.142	1927.756	1925.754	2943.902	3080.354	3305.417	2925.200	2893.650	2412.253	2885.501	3325.006	2818.799	2869.215	2859.609	
frog-16.mat	"IY1"	1468.501	1565.837	207.387	255.420	243.512	228.521	213.287	199.367	191.050	187.118	185.843	186.397	185.373	342.240	272.658	286.252	334.798	378.870	389.222	377.102	372.171	370.908	349.715	296.931	2002.384	2011.311	2063.641	2061.467	2039.173	2041.214	2003.782	1977.429	1971.304	1957.563	1904.932	2634.834	3040.802	2973.182	2739.428	2696.615	2644.242	2642.280	2515.038	2427.382	2255.764	2438.468	
