Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	
karuk-2010-05-01-arg-edited-2_43.mat	"IH0"	0.000	30.000	0	0	0	0	0	0	667.833	667.833	667.833	667.833	667.833	667.833	2446.884	2446.884	2446.884	2446.884	2446.884	2446.884	2819.830	2819.830	2819.830	2819.830	2819.830	2819.830	
karuk-2010-05-01-arg-edited-2_43.mat	"K"	30.000	65.231	0	0	0	0	0	0	953.268	974.213	1012.584	1164.459	1313.125	523.443	2529.046	2461.718	2481.960	2736.778	2623.826	2407.041	2868.672	2815.411	2811.603	2828.650	3042.422	3013.344	
karuk-2010-05-01-arg-edited-2_43.mat	"IY1"	65.231	117.168	197.644	218.292	207.769	197.269	190.470	184.722	349.073	329.635	357.206	363.343	349.225	348.805	2140.055	2249.793	2198.911	2121.608	2077.618	2046.892	2733.380	2788.760	2726.070	2695.992	2662.133	2784.926	
karuk-2010-05-01-arg-edited-2_56.mat	"uxu"	770.000	942.627	217.214	208.571	203.482	205.261	240.582	232.688	581.257	739.169	555.204	864.483	413.809	333.765	1549.295	1859.926	1175.374	1877.055	1420.941	1423.867	2825.873	3139.542	2612.646	3137.207	2569.278	2669.765	
karuk-2010-05-01-arg-edited-2_56.mat	"UH0"	770.000	800.000	209.377	215.012	212.164	209.099	205.688	204.789	785.270	975.654	949.868	919.768	632.949	471.816	1954.711	2387.152	2240.166	2231.893	1629.089	1296.935	3238.481	3287.406	3687.466	3727.911	3042.978	2539.317	
karuk-2010-05-01-arg-edited-2_56.mat	"HH"	800.000	880.507	204.300	203.575	203.749	203.714	205.855	205.427	674.851	462.525	590.719	804.619	851.532	678.446	1520.360	1256.680	1136.850	1851.867	1561.802	1781.670	2820.890	2570.291	2607.563	3363.488	2932.463	2658.202	
karuk-2010-05-01-arg-edited-2_56.mat	"UH0"	880.507	942.627	235.914	244.063	238.990	236.139	234.348	228.679	354.324	398.616	365.849	370.443	348.741	293.556	1384.793	1314.154	1335.947	1381.866	1330.087	1540.385	2620.201	2537.394	2570.176	2544.072	2635.217	2797.176	
karuk-2010-09-13-ag-vs-2_08.mat	"iiki"	3356.044	3753.890	170.281	183.026	178.133	144.166	148.464	187.133	481.021	474.828	432.847	316.441	683.588	498.909	2103.680	2243.381	2371.746	2268.751	1644.065	1980.400	3101.224	3133.682	3264.395	3196.983	2671.675	3232.544	
karuk-2010-09-13-ag-vs-2_08.mat	"IY1"	3356.044	3559.240	173.245	182.188	183.911	182.520	172.213	145.364	426.015	496.354	451.582	430.455	431.321	319.348	2330.110	2194.090	2296.250	2365.089	2380.736	2416.054	3256.845	3163.738	3103.519	3170.396	3366.994	3475.929	
karuk-2010-09-13-ag-vs-2_08.mat	"K"	3559.240	3717.445	143.928	139.553	148.176	148.176	148.176	187.933	594.081	303.116	357.052	855.995	827.190	641.018	1831.216	2132.814	1549.515	1851.592	1544.174	2088.162	2791.142	2891.864	2517.308	2782.752	2801.459	2963.253	
karuk-2010-09-13-ag-vs-2_08.mat	"IH0"	3717.445	3753.890	187.112	200.093	196.979	185.695	179.860	172.724	290.786	249.349	261.544	347.765	350.502	253.138	2029.233	1716.351	1875.036	2200.544	2129.962	2369.038	3561.106	2867.793	3593.888	3922.196	3851.946	3800.872	
karuk-2010-10-25-sd-vs-1_18.mat	"upu"	1233.170	1519.912	188.437	183.841	184.651	184.651	184.651	205.647	600.283	425.862	573.023	663.363	810.743	542.399	1609.035	1572.250	1744.661	1579.011	1707.001	1433.599	2637.121	2637.057	2739.732	2586.607	2642.078	2568.043	
karuk-2010-10-25-sd-vs-1_18.mat	"UH0"	1233.170	1302.389	183.637	180.699	184.629	186.533	184.154	182.328	514.585	341.569	309.610	236.109	694.173	1018.450	1668.471	1449.803	1462.965	1364.252	1956.148	2118.640	2683.375	2550.929	2442.871	2474.239	2974.650	3059.184	
karuk-2010-10-25-sd-vs-1_18.mat	"P"	1302.389	1486.762	185.247	184.882	188.211	188.211	188.211	188.211	673.007	428.850	619.731	747.910	782.594	786.767	1642.703	1571.761	1692.635	1688.466	1661.383	1610.504	2666.890	2617.166	2709.657	2610.285	2626.461	2775.142	
karuk-2010-10-25-sd-vs-1_18.mat	"UH0"	1486.762	1519.912	205.647	205.647	212.872	209.368	201.863	198.792	360.829	353.976	378.549	366.950	338.346	361.867	1288.565	1506.428	1214.512	1173.160	1336.296	1234.763	2373.590	2564.156	2377.830	2263.628	2306.701	2359.143	
karuk-2011-01-29-vs-1_22.mat	"uupu"	2641.012	3041.667	149.707	189.904	150.366	138.364	138.364	111.461	436.533	354.365	338.882	479.374	554.074	449.818	1282.365	953.164	861.635	1724.720	1816.604	1045.870	2604.812	2401.393	2373.939	3113.739	3023.006	2110.617	
karuk-2011-01-29-vs-1_22.mat	"UW1"	2641.012	2819.537	166.889	211.991	173.008	161.886	147.452	139.726	343.155	346.699	364.179	342.537	337.292	326.376	889.501	924.540	976.993	942.385	850.687	756.381	2407.639	2549.443	2273.330	2342.240	2369.785	2491.344	
karuk-2011-01-29-vs-1_22.mat	"P"	2819.537	2968.064	145.739	137.299	137.299	137.299	137.299	213.258	534.295	594.134	477.575	417.589	450.300	724.808	1869.854	2084.735	1991.778	1790.390	1534.891	1930.241	3123.664	3435.846	3162.815	2902.462	2870.766	3235.094	
karuk-2011-01-29-vs-1_22.mat	"UH0"	2968.064	3041.667	110.104	196.434	126.744	74.348	73.621	74.083	462.634	406.097	466.304	487.252	489.429	468.423	1045.740	910.378	961.062	1086.060	1120.830	1153.571	2051.604	2267.476	2188.235	1934.324	1778.668	2048.054	
karuk-2011-01-30-vs-1_28.mat	"ikii"	779.184	1144.033	165.012	147.494	160.760	160.760	186.231	156.942	340.119	312.622	320.724	467.978	320.174	283.169	2052.523	2025.784	2130.785	1985.382	2063.377	2058.910	2885.865	2935.219	3030.654	2769.807	2893.833	2797.358	
karuk-2011-01-30-vs-1_28.mat	"IH0"	779.184	885.152	147.834	147.834	132.325	147.464	159.707	159.707	309.382	298.228	339.952	316.222	284.551	307.846	2075.197	1973.423	1932.276	2127.042	2160.845	2193.327	3006.385	3138.323	2476.515	3199.126	3032.405	3180.725	
karuk-2011-01-30-vs-1_28.mat	"K"	885.152	1012.744	202.514	202.514	202.514	202.514	202.514	202.514	423.171	331.542	326.464	352.217	501.422	608.534	2031.304	2135.496	1968.266	1988.947	2042.777	2026.208	2833.915	3030.771	2759.679	2705.854	2807.192	2870.991	
karuk-2011-01-30-vs-1_28.mat	"IY1"	1012.744	1144.033	169.803	193.606	181.236	167.790	154.375	151.878	283.057	245.874	314.546	295.221	278.091	281.899	2056.175	2025.853	2075.610	2075.304	2056.981	2045.178	2841.712	2921.159	2894.536	2733.975	2843.957	2816.861	
karuk-2011-12-21-vs-3_07.mat	"iki"	1416.276	1731.097	113.783	167.142	130.052	48.024	50.343	55.662	664.499	334.131	324.452	976.146	1160.094	537.598	2213.653	2065.242	2093.740	2323.364	2414.908	2185.105	3099.487	2648.060	2794.862	3384.862	3247.937	3445.945	
karuk-2011-12-21-vs-3_07.mat	"IH0"	1416.276	1499.078	168.582	159.537	165.726	171.078	173.980	172.959	319.410	337.045	336.102	336.016	319.570	267.123	2097.733	2002.456	2049.630	2088.357	2137.497	2212.887	2655.219	2641.563	2754.031	2603.370	2608.395	2677.729	
karuk-2011-12-21-vs-3_07.mat	"K"	1499.078	1693.503	79.755	115.052	48.335	48.335	50.319	50.545	881.715	350.954	778.000	1192.621	1106.802	992.351	2277.416	2037.448	2206.847	2430.913	2338.590	2365.539	3232.936	2755.656	3402.135	3424.822	3102.528	3477.124	
karuk-2011-12-21-vs-3_07.mat	"IH0"	1693.503	1731.097	57.455	59.129	58.965	57.777	56.790	55.637	285.185	251.111	289.343	290.959	305.652	289.505	2128.471	1870.385	2172.753	2188.755	2198.262	2226.636	3373.578	3256.251	3470.865	3466.332	3382.678	3316.607	
karuk-2011-12-21-vs-3_08.mat	"iki"	1642.991	1931.252	203.752	184.860	196.031	196.031	432.041	142.558	557.727	269.033	424.382	967.164	834.960	292.390	2324.336	2186.251	2493.801	2374.079	2373.944	2199.002	3196.328	3237.967	3021.150	3659.027	3386.619	2655.826	
karuk-2011-12-21-vs-3_08.mat	"IH0"	1642.991	1726.435	188.446	172.165	183.749	193.519	196.337	197.024	259.930	294.857	273.885	254.324	236.431	238.966	2243.914	2158.637	2206.599	2198.894	2215.051	2449.798	3038.340	3392.224	3625.411	2911.407	2709.901	2536.371	
karuk-2011-12-21-vs-3_08.mat	"K"	1726.435	1872.352	299.102	195.062	195.062	195.062	195.062	432.041	832.583	542.921	887.278	1032.272	748.876	968.102	2421.804	2616.130	2237.352	2478.658	2105.548	2656.905	3497.569	3358.957	3425.535	3907.164	3212.304	3553.370	
karuk-2011-12-21-vs-3_08.mat	"IH0"	1872.352	1931.252	142.558	142.558	147.129	142.607	140.919	141.153	290.568	251.188	296.416	295.067	300.879	311.271	2205.093	2223.538	2204.519	2220.256	2198.354	2177.884	2669.057	2967.224	2735.391	2620.425	2568.500	2429.371	
karuk-2011-12-21-vs-3_09.mat	"iki"	733.025	1052.970	132.406	161.243	176.649	47.642	50.918	108.493	553.036	249.597	467.988	1068.166	672.929	312.479	2197.698	1962.232	2071.293	2431.249	2245.026	2291.309	2989.406	2936.706	2923.907	3451.380	2776.012	2876.434	
karuk-2011-12-21-vs-3_09.mat	"IH0"	733.025	824.475	165.812	149.248	158.156	168.888	176.916	176.394	244.001	272.802	242.124	231.481	254.487	219.078	2056.153	1675.059	2067.774	2004.294	2269.721	2269.289	2887.363	3240.010	3068.545	2560.795	2987.890	2571.878	
karuk-2011-12-21-vs-3_09.mat	"K"	824.475	978.171	99.965	176.309	176.309	46.966	48.537	48.537	854.871	545.461	1093.466	1054.302	897.194	687.507	2253.046	1809.570	2485.133	2405.184	2240.700	2308.879	3118.640	2912.075	3637.443	3421.140	2711.866	2865.514	
karuk-2011-12-21-vs-3_09.mat	"IH0"	978.171	1052.970	108.493	77.852	77.627	89.945	137.704	135.751	302.165	254.931	305.050	317.028	318.627	316.706	2254.502	2171.353	2390.978	2259.399	2245.852	2217.469	2835.609	2742.482	2983.878	2850.575	2799.175	2809.917	
karuk-2011-12-21-vs-7_10.mat	"uxu"	19.859	258.436	284.277	284.277	284.277	474.006	204.224	213.527	665.967	806.942	907.668	622.670	658.042	350.955	1525.318	1922.871	1508.361	1020.632	1755.078	1456.491	3039.165	2900.641	2997.948	2933.264	3469.102	2889.536	
