Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-34a_20.mat	"UH0"	2587.713	2644.624	183.827	231.098	200.173	188.036	183.932	180.580	177.211	174.145	171.842	169.329	166.651	432.841	384.565	388.229	385.174	402.147	421.450	444.039	460.615	469.266	477.335	488.099	888.262	825.642	839.613	852.130	873.852	879.655	875.452	869.466	885.932	930.573	1025.700	2358.568	2469.871	2355.837	2343.498	2322.698	2318.214	2339.733	2368.991	2362.384	2342.009	2356.895	
VS-34a_21.mat	"pu"	3440.000	3566.481	175.581	175.581	175.581	175.581	175.581	175.581	201.382	188.321	171.136	163.092	160.627	652.207	865.273	841.789	1074.655	1041.431	572.955	291.493	357.558	431.327	434.069	621.385	1519.836	2187.185	2048.022	2143.991	2119.609	1465.839	1010.904	847.393	870.441	896.801	1569.277	2853.631	3311.655	3020.975	3339.632	3309.759	2618.110	2649.186	2408.334	2315.285	2371.495	3103.872	
VS-34a_21.mat	"P"	3440.000	3509.861	197.490	197.490	197.490	197.490	197.490	197.490	197.490	197.490	197.490	197.490	197.490	814.292	734.902	1044.637	918.904	741.770	1073.561	1187.497	935.864	839.623	464.967	283.665	1908.696	2026.069	2401.936	2170.283	1904.694	2191.032	2238.799	2027.665	1716.836	1422.532	1158.740	3085.032	3281.918	3394.148	3287.780	2905.735	3407.612	3303.214	3204.182	2939.232	2578.638	2687.064	
VS-34a_21.mat	"UH0"	3509.861	3566.481	174.558	204.110	195.868	184.606	176.600	170.173	165.676	163.243	161.573	160.712	160.401	444.099	301.386	329.951	367.081	410.564	436.032	444.145	441.546	416.674	394.601	980.280	1022.909	812.400	836.237	851.904	864.072	868.480	880.324	881.292	923.310	1154.749	2283.919	2561.876	2606.448	2469.305	2387.838	2303.312	2313.492	2347.365	2359.273	2394.476	2612.164	3944.812	
VS-34a_22.mat	"pu"	90.000	215.097	228.786	228.786	228.786	228.786	228.786	230.554	232.518	230.872	232.927	229.261	218.277	667.381	1023.075	1034.943	1266.615	727.423	509.134	447.148	458.133	451.565	376.398	356.615	1492.784	2307.342	2314.711	2422.013	1959.100	1322.449	918.250	926.756	924.860	903.555	900.705	2749.794	3553.339	3502.118	3260.412	3079.925	2640.619	2307.817	2082.003	2347.804	2499.535	2232.350	
VS-34a_22.mat	"xu"	7819.191	7962.799	184.616	184.616	184.616	184.616	184.616	184.616	184.616	204.340	195.158	180.718	175.487	705.117	781.541	806.942	914.094	911.883	906.023	920.540	377.386	499.663	492.869	469.197	1182.108	1799.928	1268.687	1053.441	1226.373	1164.929	1103.793	1005.805	1061.791	1049.311	1016.242	2751.547	2979.451	2845.772	2422.476	2709.477	2741.590	2873.340	2779.417	3024.630	2520.178	2595.134	
VS-34a_22.mat	"ki"	8651.015	8846.015	146.424	135.110	135.110	135.110	135.110	187.085	159.596	147.133	141.171	136.156	133.988	438.083	314.981	351.838	382.509	838.332	662.941	392.826	382.275	371.510	352.136	347.128	1789.494	1332.234	1089.787	1659.921	2152.495	2186.115	1895.030	1919.907	1897.987	1866.688	1912.818	2701.170	2922.480	2687.771	3159.409	2815.194	2865.896	2515.537	2760.380	2548.805	2506.676	2209.523	
VS-34a_22.mat	"P"	90.000	152.192	230.554	230.554	230.554	230.554	230.554	230.554	230.554	230.554	230.554	230.554	230.554	917.074	1256.333	871.974	905.941	1084.751	1288.971	1253.762	929.812	540.699	588.558	428.121	2070.565	2636.911	2011.539	2201.288	2231.886	2356.150	2529.817	2096.228	1834.033	1714.348	930.252	3207.353	3923.770	3204.650	3475.281	3373.265	3290.966	3228.005	3158.267	3007.335	2973.811	2302.615	
VS-34a_22.mat	"UH0"	152.192	215.097	228.786	236.310	228.801	229.541	231.867	233.050	232.811	231.160	227.687	221.016	215.244	417.987	444.673	448.171	455.637	460.767	457.178	446.778	403.811	351.898	357.791	357.154	915.229	927.026	912.174	919.437	932.620	934.660	915.902	903.557	903.918	892.228	908.192	2292.544	2347.513	2280.794	2073.112	2065.900	2259.771	2422.093	2501.723	2499.966	2337.763	2122.055	
VS-34a_22.mat	"HH"	7819.191	7915.505	0	0	0	0	0	0	0	0	0	0	0	814.568	767.162	810.366	804.614	900.355	947.894	890.673	912.761	904.395	895.029	357.053	1250.957	1987.678	1406.070	1251.137	1054.211	1110.620	1295.235	1146.499	1203.834	1040.547	1007.766	2776.094	3106.183	2736.869	2831.424	2422.893	2502.261	2780.700	2693.311	2858.622	2882.635	2849.007	
VS-34a_22.mat	"UH0"	7915.505	7962.799	184.616	204.340	204.452	191.804	186.446	182.900	180.202	178.383	176.961	175.556	173.817	473.682	341.153	499.668	511.020	492.715	492.211	493.031	492.986	484.799	472.915	450.005	1037.623	996.036	1048.045	1076.895	1065.651	1056.825	1049.209	1038.616	1019.732	1002.812	1020.430	2698.060	2561.710	3671.183	3257.961	1725.681	2431.970	2763.742	2369.153	2498.392	2765.914	2639.582	
VS-34a_22.mat	"K"	8651.015	8740.609	143.299	135.110	135.110	135.110	135.110	135.110	135.110	135.110	135.110	135.110	192.432	518.137	327.245	304.189	320.377	370.491	343.633	356.372	614.717	826.496	890.785	825.581	1657.983	1234.394	1450.858	1284.662	935.677	1305.054	1586.914	2104.125	2186.060	2139.939	2354.108	2899.319	2962.638	2948.770	2653.835	2628.002	3143.053	3173.101	2952.645	2807.521	2767.722	2929.710	
VS-34a_22.mat	"IH0"	8740.609	8846.015	147.065	183.835	161.193	152.158	146.966	143.943	140.975	137.658	135.651	134.760	133.471	368.596	365.727	397.078	387.740	383.902	377.378	369.541	367.432	346.043	342.916	349.481	1901.131	1949.792	1831.825	1977.572	1913.778	1906.079	1902.944	1855.226	1877.658	1851.625	1957.158	2531.768	2886.832	2540.429	2364.606	2907.106	2601.499	2551.673	2537.203	2493.547	2399.102	2081.275	
