Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	
karuk-2011-12-21-vs-8_33.mat	"pu"	500.000	660.095	120.189	134.415	134.415	48.627	80.601	188.536	569.850	347.951	544.454	670.370	759.326	526.800	1300.474	1209.764	1146.400	1282.561	1731.813	1111.692	2953.356	3206.585	2607.896	3003.409	3378.921	2580.277	
karuk-2011-12-21-vs-8_33.mat	"P"	500.000	626.661	89.710	136.541	125.650	50.073	47.559	87.132	580.949	338.465	506.108	581.333	682.994	794.592	1349.145	1190.172	1231.165	1142.866	1432.150	1766.980	3049.540	3167.104	2814.186	2882.373	2942.623	3449.942	
karuk-2011-12-21-vs-8_33.mat	"UH0"	626.661	660.095	189.065	208.447	206.312	182.776	175.490	174.173	525.728	503.844	532.388	541.491	536.672	516.655	1109.283	1035.686	1061.680	1128.451	1163.611	1157.166	2583.736	2706.671	2638.768	2599.206	2574.468	2422.837	
karuk-2011-12-21-vs-8_36.mat	"pu"	220.000	317.559	162.414	162.414	162.414	196.076	172.225	149.566	617.993	635.392	770.580	787.734	467.068	444.189	1647.695	1885.991	2153.848	2054.297	1012.302	1122.046	2926.985	3056.580	3247.572	3198.863	2655.399	2488.679	
karuk-2011-12-21-vs-8_36.mat	"P"	220.000	279.927	196.620	196.620	196.620	196.620	196.620	196.620	719.698	580.912	737.691	699.995	1007.514	618.697	2004.367	1675.960	2214.855	2103.977	2249.513	1839.035	3153.225	2966.098	3200.733	3218.221	3434.627	2983.493	
karuk-2011-12-21-vs-8_36.mat	"UH0"	279.927	317.559	159.825	186.026	164.454	152.311	149.700	148.546	454.293	450.389	476.519	482.769	465.169	404.228	1072.012	977.947	1031.184	1082.721	1121.690	1143.155	2566.745	2683.811	2664.854	2545.688	2478.316	2458.377	
karuk-2011-12-21-vs-8_37.mat	"pu"	60.000	147.977	55.499	48.790	47.996	51.489	68.365	68.554	458.078	900.316	528.807	249.047	333.684	283.097	1728.356	2427.078	2192.767	1761.873	1039.709	1230.410	3003.078	3431.163	3177.178	2910.007	2804.594	2693.869	
karuk-2011-12-21-vs-8_37.mat	"P"	60.000	113.743	48.633	49.732	47.003	47.809	50.632	50.632	551.417	820.803	1063.530	347.748	262.105	279.060	2106.681	2417.430	2499.430	2117.080	1733.046	1803.992	3169.983	3500.873	3390.396	3088.516	2922.044	2933.116	
karuk-2011-12-21-vs-8_37.mat	"UH0"	113.743	147.977	68.545	68.545	68.545	68.409	68.192	68.929	307.414	324.794	352.358	309.227	282.002	277.556	1116.334	986.837	958.159	1104.802	1250.622	1254.030	2740.681	2910.841	2709.829	2693.032	2709.540	2663.319	
karuk-2011-12-21-vs-8_38.mat	"pu"	1230.000	1391.863	177.086	167.932	168.209	204.888	195.223	168.766	459.978	424.030	505.087	567.260	409.767	388.521	1546.603	1624.284	1525.105	1931.343	1469.878	1209.460	2841.385	2602.329	2779.599	3320.105	2896.824	2620.853	
karuk-2011-12-21-vs-8_38.mat	"P"	1230.000	1326.732	171.055	167.136	168.781	168.386	168.386	204.888	499.477	419.546	451.124	522.643	545.024	576.522	1691.208	1444.759	1737.780	1450.541	1666.682	2142.049	2903.282	2821.774	2400.453	2831.325	2865.895	3598.288	
