Filename,seq,seq_id,part,issue,dur_mod,dur,Label,word,sentence,before,after,V1_dur,C_dur,V2_dur,V2_maxpF2,V2_maxpF2_tpt,V2_minpF2,V2_minpF2_tpt,V2_pF2diff,timepoint,pF2_means,V1,C,V2,V1_qual,V2_qual
karuk-2012-03-31-vs-2a_01.mat,iku,119,V1,,78.63499999999998,78.63499999999998,IH0,pananikustaan,pananikustaan uum yaamach,N,K,78.63499999999998,120.88799999999992,81.91200000000003,1697.2,1,1404.942,10,292.25800000000004,1,1749.994,i,k,u,i,u
karuk-2012-03-31-vs-2a_01.mat,iku,119,C,,120.88799999999992,120.88799999999992,K,pananikustaan,pananikustaan uum yaamach,IH0,UH0,78.63499999999998,120.88799999999992,81.91200000000003,1697.2,1,1404.942,10,292.25800000000004,1,1847.031,i,k,u,i,u
karuk-2012-03-31-vs-2a_01.mat,iku,119,V2,,81.91200000000003,81.91200000000003,UH0,pananikustaan,pananikustaan uum yaamach,K,SH,78.63499999999998,120.88799999999992,81.91200000000003,1697.2,1,1404.942,10,292.25800000000004,1,1697.2,i,k,u,i,u
karuk-2012-03-31-vs-2a_02.mat,iku,120,V1,,67.42099999999994,67.42099999999994,IH0,pananikustaan,pananikustaan uum yaamachheesh,N,K,67.42099999999994,112.37900000000002,96.02499999999998,1944.476,1,1379.614,18,564.8620000000001,1,1706.954,i,k,u,i,u
karuk-2012-03-31-vs-2a_02.mat,iku,120,C,,112.37900000000002,112.37900000000002,K,pananikustaan,pananikustaan uum yaamachheesh,IH0,UH0,67.42099999999994,112.37900000000002,96.02499999999998,1944.476,1,1379.614,18,564.8620000000001,1,2257.096,i,k,u,i,u
karuk-2012-03-31-vs-2a_02.mat,iku,120,V2,,96.02499999999998,96.02499999999998,UH0,pananikustaan,pananikustaan uum yaamachheesh,K,SH,67.42099999999994,112.37900000000002,96.02499999999998,1944.476,1,1379.614,18,564.8620000000001,1,1944.476,i,k,u,i,u
karuk-2012-03-31-vs-2a_03.mat,iku,121,V1,,68.13999999999999,68.13999999999999,IH0,pananikustaan,pananikustaan uum yaamach payeem,N,K,68.13999999999999,76.87900000000012,63.121999999999964,2119.595,1,1601.155,17,518.4399999999998,1,1849.186,i,k,u,i,u
karuk-2012-03-31-vs-2a_03.mat,iku,121,C,,76.87900000000012,76.87900000000012,K,pananikustaan,pananikustaan uum yaamach payeem,IH0,UH0,68.13999999999999,76.87900000000012,63.121999999999964,2119.595,1,1601.155,17,518.4399999999998,1,2035.488,i,k,u,i,u
karuk-2012-03-31-vs-2a_03.mat,iku,121,V2,,63.121999999999964,63.121999999999964,UH0,pananikustaan,pananikustaan uum yaamach payeem,K,SH,68.13999999999999,76.87900000000012,63.121999999999964,2119.595,1,1601.155,17,518.4399999999998,1,2119.595,i,k,u,i,u
karuk-2012-03-31-vs-2a_04.mat,iku,122,V1,,56.703000000000095,56.703000000000095,IH0,pananikustaan,pananikustaan vura mit uum yaamach,N,K,56.703000000000095,105.12199999999984,52.60500000000002,2212.389,20,1631.513,19,580.8760000000002,1,1548.496,i,k,u,i,u
