Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF0_means011	pF0_means012	pF0_means013	pF0_means014	pF0_means015	pF0_means016	pF0_means017	pF0_means018	pF0_means019	pF0_means020	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF1_means011	pF1_means012	pF1_means013	pF1_means014	pF1_means015	pF1_means016	pF1_means017	pF1_means018	pF1_means019	pF1_means020	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF2_means011	pF2_means012	pF2_means013	pF2_means014	pF2_means015	pF2_means016	pF2_means017	pF2_means018	pF2_means019	pF2_means020	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	pF3_means011	pF3_means012	pF3_means013	pF3_means014	pF3_means015	pF3_means016	pF3_means017	pF3_means018	pF3_means019	pF3_means020	
karuk-2015-04-18-vs-4_16.mat	"uxi"	2040.938	2508.968	267.540	182.520	169.481	150.180	131.131	119.676	451.739	444.141	447.865	439.795	448.758	455.095	455.095	455.095	455.095	455.095	220.483	204.213	197.510	186.440	163.835	653.483	336.208	338.954	343.360	659.595	826.227	789.034	874.635	908.682	873.504	883.216	859.497	865.419	867.078	906.594	821.094	400.722	397.650	394.324	373.824	360.773	1410.782	920.722	836.543	898.237	1392.658	971.775	883.176	1630.134	1790.328	1724.579	1620.020	1320.634	1584.774	1448.015	1409.596	1324.281	1244.908	1461.148	1717.506	1991.684	2001.774	2795.379	2270.394	2598.726	2277.018	2974.191	2178.090	2178.587	3544.623	3739.165	3877.995	3475.433	2408.751	3606.151	3299.793	3133.488	2228.681	2312.709	2516.334	2363.933	2375.090	2516.871	
karuk-2015-04-18-vs-4_16.mat	"UH0"	2040.938	2108.434	165.728	165.728	165.728	165.728	186.164	184.873	180.887	178.473	175.920	174.097	172.124	169.885	167.392	164.606	160.921	157.326	154.206	151.618	149.686	147.266	145.117	343.320	286.424	355.833	373.387	339.473	335.410	336.164	330.885	327.013	328.924	334.611	337.148	338.698	347.164	359.114	367.168	369.278	371.160	366.561	347.380	320.236	884.906	1241.329	1154.990	802.295	794.253	786.483	788.685	804.285	820.101	826.277	828.808	832.640	835.086	842.563	874.678	915.476	932.912	922.036	890.280	861.095	868.702	2395.432	2022.360	1998.539	2060.184	2303.486	2522.116	2523.844	2479.520	2570.673	2699.805	2750.492	2712.100	2594.350	2473.245	2459.296	2471.735	2439.742	2358.771	2235.288	2157.452	2128.392	
karuk-2015-04-18-vs-4_16.mat	"HH"	2108.434	2402.832	353.948	138.196	124.194	119.306	401.766	452.825	447.280	440.890	451.058	442.052	438.847	448.710	456.087	454.497	454.497	454.497	454.497	454.497	454.497	454.497	224.653	821.633	653.100	605.261	845.577	852.431	763.193	864.957	902.439	909.827	881.660	868.835	874.942	866.716	851.162	855.080	894.066	839.694	911.628	920.524	836.590	475.821	1414.887	1539.277	1084.548	985.901	928.187	871.761	1611.561	1740.796	1827.792	1737.262	1742.802	1725.306	1303.503	1287.170	1511.321	1682.269	1351.088	1565.368	1276.959	1314.336	1223.438	3024.394	3295.723	2377.500	2223.708	2179.819	2180.402	3456.985	3839.460	3708.013	3768.192	4033.353	3794.358	1822.313	2975.619	3573.681	3558.612	3064.626	3472.489	2528.611	2070.291	2451.043	
karuk-2015-04-18-vs-4_16.mat	"IH0"	2402.832	2508.968	191.816	226.881	218.881	209.308	205.890	203.831	202.594	200.890	199.976	198.417	196.732	194.849	192.384	189.721	186.580	183.189	178.331	171.996	166.196	159.428	153.515	379.112	346.087	371.872	389.759	396.689	397.476	400.525	400.657	398.677	395.214	394.105	390.136	382.522	374.457	366.431	365.154	384.756	398.013	383.705	346.311	307.713	1727.376	1259.877	1215.238	1309.355	1416.631	1443.166	1511.648	1586.164	1608.889	1650.126	1757.637	1851.075	1904.208	1937.167	1997.579	2045.992	2091.676	2082.356	2018.033	1999.545	1879.247	2405.466	2037.559	2108.845	2443.158	2592.860	2546.796	2478.670	2459.816	2383.662	2324.291	2350.231	2378.885	2360.005	2340.405	2341.196	2382.432	2471.079	2506.893	2560.983	2542.273	2469.290	
karuk-2015-04-18-vs-4_17.mat	"uxi"	1026.847	1277.624	158.786	182.431	161.184	153.670	151.252	149.271	146.296	143.045	137.770	137.770	137.770	137.770	137.770	137.770	137.770	193.255	183.893	165.991	160.322	157.810	154.924	660.211	369.861	409.282	402.324	349.213	300.028	584.502	1035.805	902.919	986.519	1050.923	1090.268	1076.731	1079.204	984.715	392.883	418.309	467.417	469.193	448.136	423.077	1411.416	842.103	866.126	934.075	1021.508	1029.510	1102.946	1446.024	1427.341	1706.104	1928.333	2065.857	1957.135	1913.449	1610.533	1164.227	1161.688	1329.480	1478.003	1580.514	1636.838	2759.363	2346.125	2166.761	1932.239	2024.807	2499.972	2865.514	3319.593	2673.806	3567.388	3529.939	3335.601	3426.993	3468.666	3176.762	2442.983	2428.945	2389.283	2362.209	2381.906	2804.972	
karuk-2015-04-18-vs-4_17.mat	"UH0"	1026.847	1095.314	158.322	183.155	177.697	183.877	179.705	156.414	157.151	158.463	155.580	153.883	153.235	152.822	152.025	151.372	150.431	150.520	150.093	149.218	148.802	147.845	147.019	363.696	332.818	365.179	391.761	407.374	410.816	405.450	408.220	416.197	410.893	396.666	386.339	379.226	363.231	330.181	305.062	296.030	296.121	301.412	315.143	357.191	948.752	818.835	847.336	853.270	856.636	860.218	857.320	871.942	901.442	925.252	939.877	963.673	999.748	1023.133	1039.054	1042.656	1032.131	1027.291	1025.496	1032.145	1066.637	2208.187	2473.738	2426.474	2220.063	2203.590	2238.302	2215.764	2109.959	1958.637	1909.392	1941.591	1933.205	1832.594	1876.288	2147.475	2320.521	2461.649	2565.423	2555.629	2471.753	2263.197	
karuk-2015-04-18-vs-4_17.mat	"HH"	1095.314	1204.977	142.701	145.639	144.816	142.874	140.231	137.451	137.451	137.451	137.451	137.451	137.451	137.451	137.451	137.451	137.451	137.451	137.451	137.451	137.451	137.451	137.451	986.949	703.876	1010.576	1040.639	1060.477	882.918	854.306	958.672	1023.725	1041.762	1049.025	1088.876	1095.741	1077.501	1075.381	1079.148	1061.971	1085.340	1131.934	1158.222	518.639	1703.284	1107.399	1454.350	1503.480	1298.161	1459.100	1441.162	1631.218	1825.073	1930.002	1930.750	1965.747	2167.626	2014.178	1961.995	1948.094	1881.440	1941.051	1841.427	1628.449	1270.259	3266.168	3052.472	4000.439	3259.510	2455.545	2239.665	3400.513	3609.561	3495.453	3533.974	3538.778	3453.994	3268.086	3333.334	3431.096	3433.857	3439.343	3492.514	3496.171	3478.292	2346.784	
karuk-2015-04-18-vs-4_17.mat	"IH0"	1204.977	1277.624	165.419	165.419	165.419	192.972	191.534	182.879	174.652	170.286	167.637	162.968	161.677	161.046	160.283	159.575	158.529	157.960	157.615	156.773	155.687	154.748	153.790	439.142	393.674	408.339	408.190	406.659	414.931	433.695	460.323	471.930	469.639	468.217	471.163	472.870	466.269	456.450	448.436	445.168	441.235	435.965	424.132	405.094	1397.768	1156.931	1122.657	1109.136	1134.583	1161.313	1199.641	1269.622	1317.000	1357.381	1397.417	1440.647	1489.259	1519.836	1545.067	1576.660	1596.516	1610.559	1636.015	1656.055	1634.571	2490.509	2431.595	2832.440	2549.353	2436.313	2413.980	2415.194	2408.734	2397.203	2377.611	2367.578	2371.647	2371.255	2350.750	2322.331	2333.383	2404.382	2513.918	2600.245	2782.555	3101.943	
karuk-2015-04-18-vs-4_23.mat	"uxi"	2900.595	3199.883	298.267	298.267	298.267	298.267	298.267	298.267	472.278	449.682	476.702	486.618	492.421	492.421	368.908	349.259	229.261	200.494	183.717	177.029	177.795	179.798	180.331	757.654	637.539	671.108	567.875	983.335	1011.698	943.582	971.924	1012.230	1079.581	1076.213	1149.386	1061.820	1053.382	414.709	435.178	453.108	466.017	455.404	415.181	319.270	1742.326	2078.914	2002.775	1704.682	2046.313	1832.948	1795.705	2198.507	2275.550	2045.423	2015.616	1894.372	1448.711	1378.898	1171.706	1257.793	1397.541	1555.294	1618.332	1605.543	1545.709	2955.297	3258.822	3199.757	2816.290	3313.867	3197.350	3326.160	3071.847	3186.269	3225.977	3283.433	3235.251	3159.951	3365.263	2746.315	2451.757	2434.031	2424.529	2445.557	2522.134	2481.844	
karuk-2015-04-18-vs-4_23.mat	"UH0"	2900.595	2967.920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749.718	628.184	668.878	629.026	627.317	656.456	684.022	677.624	662.887	661.610	643.851	581.299	500.845	513.962	705.175	904.370	1048.440	1144.365	1084.608	975.608	947.556	1948.257	1157.478	2414.133	2383.801	2388.925	2354.455	2230.188	2040.879	1847.580	1747.625	1716.407	1685.644	1672.497	1712.021	1890.446	2181.445	2185.861	2029.194	1927.101	1867.450	1811.065	3149.715	2856.968	3197.699	3238.092	3806.749	3590.769	3449.425	3491.660	3051.194	2732.071	2676.440	2638.112	2716.369	3076.044	3323.979	3381.155	3327.824	3275.512	3241.855	3189.312	3082.427	
