Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-24_01.mat	"P"	1611.609	1744.693	192.081	192.281	184.748	187.016	187.016	187.016	187.016	187.016	187.016	187.016	235.557	579.418	237.174	240.446	585.944	631.036	758.964	855.325	723.384	426.942	911.077	433.767	1951.743	979.702	2225.285	1989.442	2201.388	2446.099	2488.363	2183.047	2020.735	1830.477	1284.038	3147.036	2645.612	3321.568	3036.014	3485.911	3386.345	3347.524	3227.961	3247.619	3162.630	2693.271	
VS-24_01.mat	"IH0"	1744.693	1800.643	218.728	239.392	236.450	225.005	217.192	213.983	213.095	212.416	211.695	210.842	209.240	357.316	297.899	334.171	381.563	406.817	408.238	399.171	376.321	338.290	314.812	321.871	1488.028	1098.317	1182.462	1287.179	1442.026	1578.511	1673.339	1674.290	1610.718	1602.590	1694.203	2395.758	2382.387	2376.363	2368.825	2365.479	2394.771	2457.500	2454.309	2404.659	2364.032	2396.303	
VS-24_01.mat	"TH"	1800.643	1990.000	213.095	202.706	201.875	217.305	218.599	222.954	217.547	217.547	217.547	217.547	217.547	805.013	476.342	474.382	448.048	998.669	1358.624	976.904	1223.050	924.659	341.529	774.627	1840.174	1869.605	1644.660	1814.771	2268.669	2165.585	1750.607	1899.563	1691.253	1336.791	1901.338	2906.551	2773.332	2612.803	2733.165	3441.069	3679.991	2990.649	2425.829	2722.562	2519.073	3102.187	
VS-24_01.mat	"HH"	1990.000	2030.000	0	0	0	0	0	0	0	0	0	0	0	1030.089	1459.791	1462.385	1462.724	1422.140	1385.060	1185.407	483.113	580.460	459.658	339.241	2138.477	2579.832	2573.746	2604.303	2591.726	2567.362	2343.664	1476.282	1543.532	1536.897	1504.047	3298.156	3760.083	3716.581	3686.125	3675.269	3690.494	3464.167	2673.990	2781.169	2758.796	2708.605	
VS-24_01.mat	"AH0"	2030.000	2090.000	192.969	212.604	211.991	199.853	189.356	184.462	184.178	181.253	181.735	181.735	181.735	566.838	360.457	500.780	578.858	606.771	613.462	620.513	623.467	599.535	606.550	575.600	1256.436	1410.712	1429.338	1349.164	1260.775	1232.590	1241.890	1225.455	1162.544	1143.307	1104.654	2772.965	2750.804	3386.966	2815.194	2670.111	2630.675	2881.180	2865.994	2469.612	2586.957	2654.955	
VS-24_01.mat	"HH"	2090.000	2910.000	181.848	181.848	257.490	180.594	173.011	173.011	240.374	187.032	171.377	169.134	169.134	633.412	555.842	580.046	533.973	465.527	640.253	782.778	555.234	475.381	464.964	1266.330	1506.264	1193.155	1490.985	1523.650	1338.179	1694.558	1753.063	1175.781	1237.351	1304.546	2332.231	2849.005	2884.285	2679.969	2511.638	2720.950	2981.145	2963.417	2718.440	2697.925	2871.664	3449.520	
VS-24_01.mat	"P"	3370.000	3440.000	209.129	209.129	209.129	209.129	209.129	209.129	209.129	209.129	209.129	206.876	210.322	1046.513	1387.524	1413.601	1353.425	1356.472	1273.997	1261.833	888.234	688.020	562.234	320.335	2075.313	2533.689	2484.720	2610.598	2564.050	2328.495	2396.231	1734.241	1573.278	1548.612	1068.265	3276.433	3624.111	3681.660	3803.573	3678.426	3318.035	3333.150	3263.995	2665.006	2689.409	2705.794	
VS-24_01.mat	"AH0"	3440.000	3480.000	201.177	222.525	226.348	224.572	202.309	194.579	193.529	192.238	190.439	188.774	179.923	490.397	338.094	400.673	466.008	528.252	548.684	533.815	549.118	556.695	513.968	490.341	1095.369	893.202	975.297	1055.854	1115.190	1148.331	1159.531	1163.850	1167.096	1155.851	1142.249	2591.080	2845.232	2542.072	2209.671	2408.177	2563.145	2634.201	2662.934	2682.606	2683.168	2649.083	
VS-24_01.mat	"N"	3480.000	3970.000	174.129	163.952	165.789	171.103	173.741	170.572	175.528	169.907	169.907	169.907	220.538	436.630	354.032	333.993	344.820	344.235	338.040	342.577	370.860	418.775	974.617	558.603	1251.993	1155.979	1211.196	934.483	781.075	820.893	898.912	1313.619	1680.666	2284.904	1453.268	2814.134	2658.068	2737.550	2743.557	2753.634	2722.227	2777.592	2707.872	2857.636	3335.157	2867.183	
VS-24_01.mat	"AH0"	3970.000	4010.000	173.882	193.027	183.700	178.999	175.150	172.666	170.168	167.538	166.055	165.180	165.137	415.187	463.662	461.564	461.102	455.677	439.134	412.445	387.250	371.344	356.481	345.929	1058.556	1062.454	1058.861	1044.536	1040.598	1065.060	1073.628	1063.554	1058.586	1057.862	1059.529	2725.650	2754.646	2755.123	2759.007	2772.287	2791.098	2767.137	2677.276	2633.954	2651.330	2692.869	
VS-24_01.mat	"N"	4010.000	4230.000	173.058	166.003	167.886	168.831	169.254	171.339	171.724	172.685	178.757	183.644	180.491	349.829	333.572	333.107	334.280	341.078	347.684	352.262	353.257	338.920	351.522	411.199	1017.326	1187.783	1191.945	1068.080	1007.191	958.988	814.865	868.415	749.606	769.705	1519.701	2765.431	2811.009	2863.397	2760.607	2728.467	2738.735	2740.749	2753.432	2723.973	2722.855	2804.561	
VS-24_01.mat	"UH0"	4230.000	4260.000	175.779	177.523	176.891	176.612	176.394	175.983	175.742	175.300	174.876	174.386	173.995	424.122	426.770	433.738	437.418	442.849	444.962	421.728	396.108	397.947	389.678	437.277	1684.948	1795.938	1930.880	1996.423	2069.625	2123.698	2252.319	1512.410	755.374	737.562	1562.608	2610.619	2747.819	2750.685	2753.261	2745.521	2674.627	2483.367	2385.552	2348.675	2403.675	2721.400	
